id,route_id,map_location_id,sequence_nr
cf28aef3-2c20-4263-b247-e5ba37d7965d,2e510b00-af82-44c3-9dfc-9ed05b9f7da0,ce363072-14e1-4dee-9cc2-e20dceade030,9
ea146ea5-a4e3-44d4-80de-843f1091f006,a780e971-38bd-4969-ba47-8c361258e54f,d2571b05-9d6b-43ac-849f-18b70d4dfa32,7
56d04c54-332e-489e-9029-f65a768df2c4,0718c043-5b14-489a-9370-16f4bd8ef729,177fa445-c5e7-4bad-a671-a351368d1ad6,9
dc29cbf1-899c-4d75-8c9a-d23e2c7232e7,d3b88be0-5936-42a1-a67d-e77aa38e8db8,52241c8b-3e29-4931-95a1-e730f2f3de03,9
c16a7b1e-c239-43a7-b7d8-2dc6a8c781ed,6b087339-f811-4758-a40b-395497d389c9,9ddf9d97-e483-49a2-b82a-f87db400e1af,9
e380768b-525f-4d9b-9903-5fea2167526d,3d60cd5e-021e-43ce-b439-871afb45a391,4fe12685-6a08-43a2-a377-f785dcad545e,7
535b9c96-3889-4ced-a6fe-fc0e5d3e432f,e0257d51-34c9-4041-896c-74890e0414aa,972b213d-8d75-47bd-a20a-142461b5013d,6
0cc8190b-dd92-48ad-aac6-771ce6eea8fe,f62a62f2-cbfc-47ad-8bde-2cbf5efe1a0d,981f1f9e-d36f-414f-b58b-41e89ca1e59a,1
ede3b676-e289-4189-8068-2f64ff558fb5,8357eded-3829-46f1-8277-3fd84620f202,401ca482-41b8-4ab0-bb4d-6867ec5cf535,3
39eeb40d-1f4a-4457-b097-1bda09e86934,3a0e4e86-8e5c-45d0-8a7b-3d5de5bef4ed,e6611f14-8e13-4c37-b9df-f496d0818bff,7
e980a8d1-9d95-4102-8cb5-2ae131ff15bf,2b3b2b8f-9da0-412a-9b8f-2426d0c92f0e,7d79939b-b7c8-4434-a11b-9503d51177ee,5
26b37fed-df3d-4199-83ea-1dd9ae8e1ed0,8f68279d-2b3b-49b3-9692-6abdf9ceac8e,c8a3d169-5906-46f8-8043-30f2766b0023,10
7ccaa91f-50f6-4011-a63d-4ba72cd6f6b0,976afc82-eda4-4d39-959c-b9d460846a7c,9d66650d-bb00-4225-82db-1d28ad7b9637,7
8e124170-f7f8-45cf-bb57-bd238027b266,55caef93-8eea-41b2-96f1-042254089ff3,608d9714-74ff-438a-aa85-d4bbe29ffbb6,1
5582df1a-4cd5-4e9b-877d-4be0a64d9402,0c24c8fc-adb8-48d8-8d5e-d859f0db9ac3,8f5086e8-683a-4f23-a6dd-2cda36e5527c,0
0dab8dfc-29ac-4f80-999f-60fa9ca7a462,832bc5cb-9e65-448f-8b29-0c037e97127a,62afc661-2ba6-40b6-a3ef-3b82c1aa171c,3
bac86c2c-b4eb-461e-b52b-1e1e714ea717,9d2bce1e-26bc-4892-80eb-4e4d7106c4e6,a6cb6294-6b36-4ef6-abba-eeb7546a657c,3
8d5ea3c5-c4fe-4072-8a2b-611e4150d0b7,2c4ad005-c194-4c8e-bbaa-5b3bed9829dd,acdc055a-c620-42ff-8fa5-24cea0fab16d,10
a27e541d-efca-4e30-855e-57fda00ca46c,90b0fb0e-0d73-48ef-8e3f-79fb0dbb9119,b514d9d6-adc6-41b3-99ae-5bb8dec8f55f,4
729950b6-aed9-472c-a36f-417aff8a2215,d3a5b114-056e-49d3-85cd-dbd1aa9dd1d9,a66ca859-0793-4a52-9408-e717bf7de7a3,4
551602eb-ca6c-444d-8d03-4c9f8870e606,ff4a0c84-8ac6-4e6d-99fa-774f3af8718e,16718820-0fab-40ed-8349-9dbdc3f76899,0
fb7f0c80-7847-44f6-8bbe-6d7f827f7281,432c651e-981c-433c-8bf6-7c196526ee37,635da2e0-2cbd-4678-8cd1-32158d8c771e,8
bf03548e-5268-482c-96a2-bae0acdfc27e,49400db6-cb39-4428-945b-bb93c9b44221,15fe19b9-7692-4e68-aada-185ecb4309a5,2
d2dd712c-3bbb-44b5-b63c-972507492de6,69af4f3a-0d19-47cd-b0c0-30376364edd7,7204e2d9-ae58-473f-888b-8441ee208916,2
39fe06eb-fa23-44d0-89bd-95438abbdb7e,237ca4bd-d9e5-4c20-a46c-49ceee2d03e5,20aeda45-7f2a-4e75-801f-6d7a3c81d387,6
a476028c-660f-4ec1-9c6a-969e10a72197,9eff9a8e-003e-41ab-b59f-e6bf818d9370,03afd826-8343-47b9-81cd-d8cf4b1fa860,6
a44c0ee5-0e62-4254-8e9d-0edd92f3b083,3a2cf332-5fcd-42ab-8a2c-fdcf76d6535d,e63ab740-fa81-4bdb-862b-33a45c959c51,10
029a2eca-4cf9-4b15-90ff-f67b712449e9,0718c043-5b14-489a-9370-16f4bd8ef729,40d0920f-4c77-4cad-a75e-4eda4dced799,0
ae53f5cc-5f7a-4d83-9b7f-5ed0f5ee299f,9adfc59d-230b-4ffb-895c-9e36f64d389e,8c5e31dd-9abe-4a7c-8a7d-38c36348c953,2
ed411709-c77a-42e1-a0fc-f84b1f236f15,d154108d-3f9c-4d42-ac99-1cb95737dc5d,e1c26f15-16e1-4b91-b8a7-32c5b00ea157,10
fe4c02c2-c02f-4d04-8ca6-fb8c723a5bdc,4ada1976-c791-4e56-8d0c-2786a4c0aa43,5c59af80-5293-463f-86c0-d61d0fff4f9e,9
a089abee-a8ce-49e3-953c-8ba77d9fa0fb,a07865b3-f095-45f8-957a-48955b921639,aa48b0a3-74af-4d92-8ecf-c89cc9a5ea5a,3
45175320-6368-4879-9f1e-95205e7f8b1d,252cac6d-b5c0-4d0a-8b49-e9b470724aa4,632c4b3b-cf66-48e1-83b2-aa3e3bb20bfc,1
f10ece8a-8e9a-423a-83b8-bcfc87f6d49c,bb8892ed-7707-458e-aa05-608ba9559d14,55c1824c-09ac-4342-abcd-1e79f7e1ba14,2
4c42b17e-8dca-4c28-88cc-0de073cddfd7,e0257d51-34c9-4041-896c-74890e0414aa,9febbf73-2db7-4abe-91dd-ed70acf273e5,9
a98bc234-ac7c-4fa2-abf2-3a8c0b1d7c3d,6baedeb2-00ae-4a3d-87f7-7048602ae5d4,dae7effe-23b4-4f57-a9f9-2a6a00aa5c3f,8
bbf58824-7f81-49c1-83ab-6f57ca650a34,1fb3de42-6b6a-454a-8a48-3ae196b14743,ea5794f7-043d-494e-b3fb-eedf6dbf1457,5
71c3cb1b-5981-42c6-b29b-88b553ac6c30,ff01e8c4-444f-47fe-a130-29e23cd1a54f,8a442e40-fa9d-4952-ad33-08f00dcec8d5,5
c9081f62-f4bc-486a-a102-0f5eab299d52,47f883c3-572a-49b2-bd41-0fd1e80eb48f,4053c723-e842-457e-a25e-6b23f4342e6a,3
62f11b10-781c-455c-92ad-39c5354e9c94,98177f7e-5a8c-4a00-9911-aecb03130350,e00a21ee-a590-44ff-8911-eef2521b453c,9
9989b222-a4ed-4717-97d5-79f5c2d73c9d,4e50e14b-14dc-4f77-9c8c-065602fd9529,4cdc804a-23ca-44e0-a62d-318854066142,10
bb538be4-6c4a-44d9-8511-a9451a98aa78,86b69353-0f33-4d7a-9310-50a131470e41,632c4b3b-cf66-48e1-83b2-aa3e3bb20bfc,5
eeb40765-22e2-4bb0-95ae-f0c5ee9541af,761ad0ce-948e-43f0-b494-fb78914466a5,9e38a688-7b3f-4691-81f4-7441ae245a12,8
3827ac19-362a-4068-89e5-e498510230b8,12cf7858-8c9e-458e-b67b-cf6c2b78b9dc,56245d6e-fb74-430f-9242-8eb4bda7a605,9
